@lpm0	lpm1	lpm2	lpm3	lpm4	lpm5	lpm6	lpm7	lpm8	lfp0	lfp1	lfp2	lfp3	lfp4	lfp5	lfp6	lfp7	lfp8	llcusd@
4.425278219	4.547609966	4.55484514	3.779077266	4.438091441	4.552783284	4.574223615	4.521334151	4.480023929	4.78364758	4.641057722	4.712516686	4.13278312	4.908419792	4.658779705	4.788067476	4.687229366	4.699350727	-0.301406354
4.456882472	4.500343351	4.565767521	3.81480077	4.43965057	4.473822459	4.553434374	4.518712317	4.510110113	4.759908226	4.575125543	4.684510209	4.163593682	4.879799528	4.619811032	4.772123814	4.685714303	4.685714303	-0.283848629
4.429816942	4.574778684	4.576790757	3.898606449	4.519927895	4.508156759	4.557510606	4.504922254	4.509232606	4.748067458	4.626778845	4.716210384	4.209230919	4.925149482	4.660343214	4.78651261	4.674906578	4.695181572	-0.279432858
4.456896192	4.438547054	4.574679228	3.903510954	4.419854921	4.493710165	4.545988735	4.49589835	4.533436269	4.755588115	4.635585322	4.721763019	4.210555059	4.935689915	4.648007842	4.777518818	4.685565255	4.705577694	-0.27399931
4.431592253	4.443153075	4.550924476	3.912984489	4.397289659	4.533224899	4.535323535	4.491395744	4.495767336	4.741024761	4.628679931	4.698756904	4.247937961	4.894216208	4.638642654	4.751041539	4.678720878	4.682285944	-0.270659122
4.446696214	4.350929309	4.55479271	3.981248402	4.448976717	4.474835381	4.541383535	4.505438862	4.5129456	4.740660355	4.590914968	4.65545349	4.292923526	4.887213657	4.643361444	4.735126306	4.645791579	4.662639149	-0.260290925
4.463913389	4.318378608	4.58694972	3.988931247	4.411788098	4.549324539	4.544129722	4.488440817	4.512381024	4.734634754	4.618629983	4.640528668	4.252953125	4.878246602	4.601259819	4.719181908	4.625982957	4.642932515	-0.240702435
4.454799357	4.394816653	4.587188545	3.93901473	4.660439007	4.589186548	4.558789071	4.499449631	4.553631762	4.752687044	4.618692224	4.658673321	4.220002627	4.895499558	4.627307662	4.72083372	4.634633702	4.653911407	-0.243460041
4.461449152	4.502497622	4.600767843	3.939615636	4.286124577	4.451204327	4.538787623	4.513308538	4.549215246	4.749279154	4.620295005	4.66795216	4.245032501	4.909540311	4.641348415	4.72365101	4.6462384	4.680993246	-0.258810108
4.375898992	4.351083823	4.579239916	3.940580921	4.385655167	4.490408702	4.512031167	4.505593376	4.52055092	4.742515811	4.667030191	4.663404809	4.265778149	4.913777174	4.673043438	4.711849012	4.633918643	4.675438649	-0.275325398
4.404060715	4.448305416	4.531322494	4.016295184	4.260959871	4.484103422	4.519725105	4.5069181	4.526067621	4.761157767	4.630259789	4.632731979	4.325938398	4.927794158	4.629021399	4.69958264	4.632731979	4.667908437	-0.265038908
4.396228365	4.619132939	4.543700366	4.088026563	4.357246572	4.52496933	4.514409569	4.506950824	4.529162208	4.741807668	4.631679125	4.630452884	4.402697487	4.918441658	4.620588439	4.679535147	4.618107048	4.66185643	-0.260860476
4.374630571	4.607530297	4.522458785	4.13012067	4.715121333	4.488046787	4.495676252	4.500009953	4.532974129	4.758586032	4.635173819	4.630204865	4.398619807	4.901248663	4.63144942	4.690609699	4.585639884	4.675252043	-0.271633935
4.372030345	4.58051707	4.520705431	4.117893548	4.349585513	4.544853586	4.515377768	4.505715857	4.513238729	4.704085179	4.626399073	4.59784344	4.388458705	4.831510767	4.592792924	4.667172107	4.617794226	4.660096606	-0.246997687
4.419741742	4.496355772	4.549166353	4.162050384	4.284536149	4.55224802	4.517815823	4.482155643	4.54607516	4.710981691	4.577762847	4.604891514	4.397439293	4.854447165	4.607321649	4.66851721	4.597565474	4.659342834	-0.223340571
4.419645942	4.527829325	4.564159215	4.161747544	4.465683991	4.513991956	4.540434533	4.519336704	4.535201659	4.695604434	4.55520331	4.60888346	4.330833517	4.841965842	4.558873039	4.638633937	4.564959485	4.6363766	-0.1752022
4.434441845	4.630779183	4.619273783	4.053612758	4.480909128	4.540034352	4.566812471	4.513591775	4.541077649	4.719402073	4.571556262	4.614611196	4.265069875	4.865166034	4.565593215	4.642687155	4.576301229	4.627061837	-0.161778028
4.475342947	4.45048291	4.624378527	3.978188329	4.514735349	4.545376943	4.560865121	4.531757037	4.561889187	4.731547183	4.578068999	4.629656367	4.190674916	4.856591604	4.588601571	4.637447169	4.569799607	4.61615785	-0.155430115
4.467639995	4.524672993	4.639371437	3.990841322	4.588678323	4.535277546	4.573564685	4.507468268	4.577617376	4.748350944	4.61082753	4.643433004	4.220110279	4.858580067	4.625575387	4.650048243	4.575940271	4.609684019	-0.1556806
4.473317004	4.445855324	4.61121245	3.940428865	4.543062038	4.581270093	4.560798549	4.51206009	4.58833726	4.74219503	4.596269434	4.631202563	4.186782487	4.842986153	4.596269434	4.637825104	4.567180705	4.608805211	-0.138879956
4.489021189	4.484531844	4.650980051	4.025936458	4.527466341	4.510074598	4.57892126	4.559282386	4.587076249	4.727676308	4.582769187	4.606220848	4.172206362	4.736435488	4.548283011	4.621555212	4.552950464	4.596237404	-0.102746934
4.50527104	4.569395568	4.698387688	4.089822488	4.520605404	4.644168802	4.606982522	4.555846637	4.567323028	4.724169962	4.621979021	4.624086503	4.190871482	4.783336939	4.576663824	4.624086503	4.531509427	4.593084555	-0.071392785
4.509593384	4.555714158	4.700839506	4.071777434	4.513974552	4.634304433	4.617694378	4.545176653	4.57646179	4.766190789	4.619192993	4.650161832	4.222367248	4.769929111	4.557686747	4.648056568	4.57597297	4.628907047	-0.097597283
4.51761017	4.54559908	4.672072717	4.092855404	4.587185114	4.530625539	4.590235447	4.515424377	4.601341063	4.775163101	4.633224879	4.641901723	4.253567655	4.760883944	4.587534481	4.645136227	4.574912397	4.621169939	-0.113433683
4.496220649	4.682830457	4.666890129	4.103011962	4.487211579	4.490599499	4.588264186	4.513998895	4.570728925	4.783481302	4.678014859	4.647905058	4.264039062	4.829134315	4.606673591	4.658762928	4.57547522	4.635823637	-0.125134177
4.464766425	4.676020338	4.656123898	3.999617735	4.647474156	4.591904305	4.577515568	4.557650827	4.632889552	4.738568625	4.618838169	4.605592942	4.169668626	4.826957133	4.577422065	4.617741076	4.542534806	4.605592942	-0.098846445
4.4808685	4.596111529	4.678108661	3.947725675	4.556687337	4.614257189	4.589989061	4.534214481	4.582798481	4.729439377	4.597142299	4.609131543	4.071217879	4.797214729	4.563694364	4.603699699	4.529088835	4.602609781	-0.075999899
4.515146209	4.511829457	4.682454974	3.871524758	4.674957282	4.600776943	4.601789601	4.549856852	4.590593555	4.739663302	4.606539601	4.614119497	4.032141174	4.805034018	4.576752512	4.611959669	4.541421202	4.615197664	-0.076059028
4.546813551	4.594939993	4.682887262	3.741494572	4.572211742	4.59698081	4.60307839	4.540361916	4.558534517	4.738724891	4.610330728	4.589621541	3.964585786	4.800353585	4.578547231	4.598393527	4.52713671	4.609251397	-0.069968812
4.546420456	4.475279356	4.621830461	3.734953615	4.685435711	4.535632864	4.589471723	4.559213807	4.591525112	4.732502635	4.629381046	4.589180086	3.954176299	4.80117525	4.569022629	4.606762957	4.532152093	4.589180086	-0.075477925
4.536837024	4.577960373	4.605471022	3.789503012	4.679076356	4.548608161	4.584139589	4.532522023	4.583112367	4.729451974	4.645729635	4.62854339	3.989178279	4.818420299	4.591011391	4.619838221	4.53669417	4.587631107	-0.098185871
4.522810873	4.512915245	4.593552761	3.730846275	4.694315567	4.528266424	4.571913586	4.524996666	4.562494364	4.706745283	4.628111201	4.590826181	3.905469802	4.800697689	4.57278736	4.591942875	4.536883098	4.585223925	-0.089022161
4.512280744	4.541678615	4.60909657	3.604243154	4.722747599	4.570236875	4.566057141	4.555530728	4.584729882	4.701200595	4.610466172	4.568096401	3.840183262	4.80795595	4.546218729	4.586155582	4.527416765	4.592844571	-0.086104007
4.506791755	4.341854286	4.641570981	3.666865841	4.713598365	4.585723968	4.541691698	4.522210563	4.561851532	4.682720208	4.608690646	4.572932646	3.836780582	4.855482115	4.561490874	4.578604811	4.516777543	4.592088161	-0.090861251
4.456271967	4.495178476	4.617564941	3.716549204	4.614581348	4.529379272	4.546583997	4.508556601	4.552960214	4.714955852	4.645371877	4.598851861	3.913801891	4.90380552	4.658587928	4.616123448	4.560977512	4.636463132	-0.137923309
4.447564415	4.5088776	4.54987579	3.666340781	4.669301826	4.516557286	4.5088776	4.523093257	4.492219802	4.712923941	4.672459153	4.597148535	3.938303949	4.902720172	4.620930868	4.63377401	4.580157835	4.647599115	-0.176885519
